Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,18.65,19.120001,18.65,19.120001,18600,19.120001
2016-02-29,18.25,18.25,18.25,18.25,5000,18.25
2016-02-26,18.16,18.450001,18.139999,18.24,8300,18.24
2016-02-25,17.65,18.09,17.65,17.780001,6400,17.780001
2016-02-24,17.700001,18.00,17.67,18.00,7700,18.00
2016-02-23,18.370001,18.40,18.00,18.00,5500,18.00
2016-02-22,18.15,18.549999,18.15,18.540001,5900,18.540001
2016-02-19,17.77,18.23,17.77,18.23,10200,18.23
2016-02-18,18.33,18.33,18.139999,18.139999,5900,18.139999
2016-02-17,18.16,18.16,18.110001,18.16,3100,18.16
2016-02-16,17.51,17.99,17.51,17.940001,61700,17.940001
2016-02-12,17.50,17.50,17.049999,17.049999,3500,17.049999
2016-02-11,16.799999,17.42,16.799999,17.059999,8800,17.059999
2016-02-10,17.549999,17.65,17.50,17.60,800,17.60
2016-02-09,17.60,17.60,17.27,17.27,900,17.27
2016-02-08,17.690001,17.690001,17.60,17.60,15000,17.60
2016-02-05,18.209999,18.209999,18.209999,18.209999,000,18.209999
2016-02-04,18.26,18.40,18.18,18.209999,13200,18.209999
2016-02-03,18.00,18.030001,17.90,18.030001,17500,18.030001
2016-02-02,18.90,18.90,18.129999,18.27,3400,18.27
2016-02-01,18.700001,18.700001,18.700001,18.700001,8800,18.700001
2016-01-29,18.959999,18.959999,18.40,18.57,9700,18.57
2016-01-28,18.00,18.00,18.00,18.00,000,18.00
2016-01-27,18.049999,18.049999,18.00,18.00,17800,18.00
2016-01-26,18.40,18.620001,18.40,18.610001,6000,18.610001
2016-01-25,18.65,18.65,18.35,18.35,1100,18.35
2016-01-22,18.00,18.299999,17.879999,18.09,5500,18.09
2016-01-21,17.469999,17.59,17.469999,17.59,400,17.59
2016-01-20,16.92,17.23,16.860001,17.10,20500,17.10
2016-01-19,17.75,17.90,17.719999,17.719999,5700,17.719999
2016-01-15,17.200001,17.23,16.99,17.049999,17700,17.049999
2016-01-14,17.35,17.799999,17.35,17.799999,3000,17.799999
2016-01-13,17.549999,17.57,17.280001,17.389999,2738700,17.389999
2016-01-12,17.950001,17.950001,17.950001,17.950001,1000,17.950001
2016-01-11,17.950001,18.00,17.719999,17.719999,16300,17.719999
2016-01-08,18.280001,18.280001,18.110001,18.15,4100,18.15
2016-01-07,18.290001,18.290001,17.93,17.940001,49300,17.940001
2016-01-06,18.74,18.74,18.690001,18.690001,2100,18.690001
2016-01-05,19.17,19.17,19.17,19.17,000,19.17
